sample_idx,class,distance_to_centroid,z_score
196,banana,29.359981552144937,3.3777135040015667
286,banana,28.63522146901994,3.218586756786438
425,banana,29.52735191550401,3.4144609768848793
518,banana,33.250987835107054,4.2320143790327895
543,banana,28.523937084325702,3.194153399369903
646,banana,31.02908908578885,3.7441791231286805
648,banana,29.521888739396104,3.413261493823166
659,banana,30.438645911704306,3.614542704270821
707,banana,28.188159062413526,3.1204307073269977
951,carrot,30.25983314206073,3.0458302062684193
1088,carrot,30.94468914981389,3.184441087066206
1197,carrot,30.685350617480992,3.131952473424045
1211,carrot,31.529058295024914,3.3027140101504178
1368,carrot,30.897575088220503,3.1749054744680985
1486,carrot,30.324751200060895,3.0589692443979173
1686,carrot,30.659793025420118,3.1267797651371594
1718,carrot,31.637765281999947,3.3247156733364025
1868,cucumber,28.102610421363185,3.5555177314121567
1909,cucumber,27.431715869335147,3.351105228848903
1911,cucumber,26.693445897515076,3.126164346483925
1936,cucumber,28.606310370470354,3.7089882981751985
1965,cucumber,27.269029948460403,3.3015370275312925
2006,cucumber,26.781902240718107,3.1531157987308793
2022,cucumber,27.3154876059807,3.315692047881724
2053,cucumber,31.811726537646432,4.68563528168177
2485,cucumber,26.702892961986095,3.129042739346946
2635,mandarin,28.09590363301571,3.480846966076286
2716,mandarin,27.050132406687563,3.215903596644801
2762,mandarin,26.803787592786833,3.1534927907307817
2879,mandarin,29.351501882829318,3.7989494559735455
2986,mandarin,27.15582987152741,3.2426817693177674
3063,mandarin,26.850178544938277,3.16524581554606
3192,mandarin,26.50284561879381,3.0772499389619234
3204,mandarin,26.280983153472825,3.021041671194884
3209,mandarin,26.28240062597103,3.021400784096727
